Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023090,2008,01,01,39.9,1,Y
IDCJAC0010,023090,2008,01,02,28.9,1,Y
IDCJAC0010,023090,2008,01,03,31.1,1,Y
IDCJAC0010,023090,2008,01,04,38.6,1,Y
IDCJAC0010,023090,2008,01,05,40.6,1,Y
IDCJAC0010,023090,2008,01,06,27.6,1,Y
IDCJAC0010,023090,2008,01,07,28.8,1,Y
IDCJAC0010,023090,2008,01,08,30.3,1,Y
IDCJAC0010,023090,2008,01,09,36.5,1,Y
IDCJAC0010,023090,2008,01,10,42.1,1,Y
IDCJAC0010,023090,2008,01,11,30.0,1,Y
IDCJAC0010,023090,2008,01,12,25.1,1,Y
IDCJAC0010,023090,2008,01,13,24.7,1,Y
IDCJAC0010,023090,2008,01,14,28.6,1,Y
IDCJAC0010,023090,2008,01,15,35.3,1,Y
IDCJAC0010,023090,2008,01,16,26.0,1,Y
IDCJAC0010,023090,2008,01,17,27.1,1,Y
IDCJAC0010,023090,2008,01,18,32.0,1,Y
IDCJAC0010,023090,2008,01,19,30.3,1,Y
IDCJAC0010,023090,2008,01,20,25.3,1,Y
IDCJAC0010,023090,2008,01,21,24.8,1,Y
IDCJAC0010,023090,2008,01,22,28.8,1,Y
IDCJAC0010,023090,2008,01,23,32.0,1,Y
IDCJAC0010,023090,2008,01,24,30.7,1,Y
IDCJAC0010,023090,2008,01,25,33.9,1,Y
IDCJAC0010,023090,2008,01,26,34.0,1,Y
IDCJAC0010,023090,2008,01,27,25.3,1,Y
IDCJAC0010,023090,2008,01,28,28.5,1,Y
IDCJAC0010,023090,2008,01,29,31.6,1,Y
IDCJAC0010,023090,2008,01,30,33.7,1,Y
IDCJAC0010,023090,2008,01,31,30.3,1,Y
IDCJAC0010,023090,2008,02,01,32.2,1,Y
IDCJAC0010,023090,2008,02,02,34.3,1,Y
IDCJAC0010,023090,2008,02,03,33.7,1,Y
IDCJAC0010,023090,2008,02,04,33.7,1,Y
IDCJAC0010,023090,2008,02,05,24.5,1,Y
IDCJAC0010,023090,2008,02,06,20.5,1,Y
IDCJAC0010,023090,2008,02,07,22.6,1,Y
IDCJAC0010,023090,2008,02,08,20.8,1,Y
IDCJAC0010,023090,2008,02,09,22.7,1,Y
IDCJAC0010,023090,2008,02,10,25.6,1,Y
IDCJAC0010,023090,2008,02,11,28.9,1,Y
IDCJAC0010,023090,2008,02,12,26.7,1,Y
IDCJAC0010,023090,2008,02,13,23.6,1,Y
IDCJAC0010,023090,2008,02,14,27.6,1,Y
IDCJAC0010,023090,2008,02,15,33.2,1,Y
IDCJAC0010,023090,2008,02,16,37.4,1,Y
IDCJAC0010,023090,2008,02,17,37.1,1,Y
IDCJAC0010,023090,2008,02,18,37.3,1,Y
IDCJAC0010,023090,2008,02,19,38.1,1,Y
IDCJAC0010,023090,2008,02,20,21.4,1,Y
IDCJAC0010,023090,2008,02,21,30.7,1,Y
IDCJAC0010,023090,2008,02,22,21.2,1,Y
IDCJAC0010,023090,2008,02,23,20.7,1,Y
IDCJAC0010,023090,2008,02,24,23.3,1,Y
IDCJAC0010,023090,2008,02,25,23.9,1,Y
IDCJAC0010,023090,2008,02,26,27.0,1,Y
IDCJAC0010,023090,2008,02,27,25.2,1,Y
IDCJAC0010,023090,2008,02,28,23.0,1,Y
IDCJAC0010,023090,2008,02,29,23.3,1,Y
IDCJAC0010,023090,2008,03,01,25.7,1,Y
IDCJAC0010,023090,2008,03,02,31.1,1,Y
IDCJAC0010,023090,2008,03,03,35.4,1,Y
IDCJAC0010,023090,2008,03,04,35.7,1,Y
IDCJAC0010,023090,2008,03,05,37.9,1,Y
IDCJAC0010,023090,2008,03,06,38.5,1,Y
IDCJAC0010,023090,2008,03,07,39.0,1,Y
IDCJAC0010,023090,2008,03,08,39.8,1,Y
IDCJAC0010,023090,2008,03,09,40.2,1,Y
IDCJAC0010,023090,2008,03,10,40.0,1,Y
IDCJAC0010,023090,2008,03,11,38.4,1,Y
IDCJAC0010,023090,2008,03,12,39.2,1,Y
IDCJAC0010,023090,2008,03,13,39.7,1,Y
IDCJAC0010,023090,2008,03,14,38.6,1,Y
IDCJAC0010,023090,2008,03,15,38.3,1,Y
IDCJAC0010,023090,2008,03,16,39.9,1,Y
IDCJAC0010,023090,2008,03,17,40.5,1,Y
IDCJAC0010,023090,2008,03,18,27.6,1,Y
IDCJAC0010,023090,2008,03,19,27.0,1,Y
IDCJAC0010,023090,2008,03,20,23.0,1,Y
IDCJAC0010,023090,2008,03,21,22.2,1,Y
IDCJAC0010,023090,2008,03,22,22.7,1,Y
IDCJAC0010,023090,2008,03,23,28.9,1,Y
IDCJAC0010,023090,2008,03,24,27.6,1,Y
